Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
Service quality,Apenas citado,"“• Service quality . What level of service quality is being delivered for each service? What are the trade-offs between service quality, cost, and volume?”  "
Operations risk,Apenas citado,“• Operations risk . What are the current operations risk levels? Is there enough capacity available to support the expected business opportunities?”  
Business Value of the Transaction (BVT),Apenas citado,“… this variability impacts the business value of the transaction (BVT).”
Moreira et al. 2024 - Business Process Automation in SMEs - A Systematic Literature Review.pdf
Modelo,Usado_para_construir_medidores (Sim/Não),Trecho de suporte extraído do texto  
van der Aalst et al. [115] – Dimensões de KPI/PPM,Sim,"“van der Aalst et al. [115] have grouped some KPIs or PPM in dimensions: time, quality, and cost… For measuring time, the organization can use cycle time or waiting time… for cost… cost per execution, resource utilization, and waste; and for measurement, the quality of customer satisfaction, errors rate, and other violations.”  "
Šperka & Halaška [14] – PPAFR (Process Performance Assessment Framework),Sim,"“These authors proposed a PPAFR assessment framework with many monitored parameters… average processing times of activities, average waiting times of activities, total processing times of activities, total waiting times of activities, potential time savings, and average cycle time.”  "
Syed et al. [62] – 4 grupos de benefícios,Não,"“Šperka and Halaška [14] and Syed et al. [62] summarize the automation benefits in four groups: operational efficiency, quality of service, implementation and integration, and risk management and compliance.”  "
"Wewerka & Reichert [31] – Categorias (speed, availability, compliance, quality)",Não,"“Wewerka and Reichert [31] also clustered into four categories (excluding the human aspects): speed, availability, compliance, and quality.”  "
Liutkevičienė et al. [53] – Métricas típicas,Sim,"“Liutkevičienė et al. [53] set as typical metrics measurements of productivity, quality, time, and customer satisfaction for measuring the performance of a business process.”  "
Stravinskienė & Serafinas [15] – KPIs internos/externos,Não,"“Stravinskienė and Serafinas [15] … defined two groups of KPIs for evaluating RPA impact on business: internal factors that include job satisfaction, process acceleration, cost savings… and external factors including customer satisfaction, cooperation with other organizations.”  "
Hofmann et al. [49] – KPIs internos/externos,Não,“…Hofmann et al. [49] mentioned that internal factors can mediate external performance.”  
"Gabryelczyk et al. [21] – Benefícios (eficiência, eficácia, agilidade)",Não,"“Gabryelczyk et al. [21] mentioned three core benefits of using BPM: efficiency, effectiveness, and agility.”"
Seidel et al. 2010 - Pockets of creativity in business processes.pdf
"Six Sigma;Apenas citado;""[…] existing and widely used BPM concepts such as Six Sigma [Pande and Holpp", 2002] or Lean Management [Harmon," 2007] that have a strong focus on highly predictable and repeatable processes may be a danger to the management of rather creative processes […]"""
"Lean Management;Apenas citado;""[…] existing and widely used BPM concepts such as Six Sigma [Pande and Holpp", 2002] or Lean Management [Harmon," 2007] that have a strong focus on highly predictable and repeatable processes may be a danger to the management of rather creative processes […]"""
Originalidade e Novidade (Dean et al.," 2006);Usado para construir medidores;""[…] pockets of creativity have to be particularly assessed regarding creative performance. Here measures such as originality and novelty [Dean et al."," 2006] are of relevance while structured sub-processes have to be judged regarding conventional performance ratios that primarily relate to efficiency."""
Nguyen et al. 2020 - Business Program Accreditation towards Continuous Improvement in Higher Education - A Case Study.pdf
Modelo,Uso,Trecho_do_texto
ACBSP Standard 4 – Measurement and analysis of student learning and performance,Usado para construir medidores,"“Standard 4. Measurement and analysis of student learning and performance, which states that institutions and programs must conduct outcomes assessment and document the results and evidence that such results are serving the purpose of developing and enhancing the academic programs offered by the institution [9].”"
ACBSP Standard 2 – Strategic planning (key performance requirements),Apenas citado,"“Standard 2. Strategic planning, which states that programs must have a process in place to set strategic directions to improve the achievement of key performance requirements regarding the students and the program [9].”"
Academic KPI,Usado para construir medidores,"“Continuously improving teaching and learning activities, assessment methods and the usage of academic KPI.”"
Goldstein et al. 2019 - Business process runtime models - towards bridging the gap between design, enactment, and evaluation of business processes.pdf
Not valid csv text, check the article
Augusto et al. 2016 - Evaluation of discovered clinical pathways using process mining and joint agent-based discrete-event simulation.pdf
Modelo_de_Indicador,Utilizado_para_construir_medidores?,Trecho_que_corrobora
Total cost incurred by all patients,Sim,“The performance of scenarios is assessed by evaluating 3 key performance indicators (KPIs): (1) total cost incurred by all patients …”
Death rate,Sim,“The performance of scenarios is assessed by evaluating 3 key performance indicators (KPIs): … (2) death rate …”
Proportion of patients who had a heart failure relapse,Sim,“The performance of scenarios is assessed by evaluating 3 key performance indicators (KPIs): … (3) proportion of patients who had a heart failure relapse.”
Significance value of the causal net,Sim,“The validation of the model is guaranteed during the process mining step with the optimization of the significance value of the causal net …”
Jacobo-Romero and Freitas 2021 - Microeconomic foundations of decentralised organisations.pdf
Modelo,Uso,Trecho que comprova  
Hurwicz Index (HI),Construir medidor,"Concerning 𝑈𝑂, it can be calculated with the Hurwicz’ Index (HI) [8]. This indicator is employed when the firm is not either 100% optimistic or pessimistic. HI definition is then:  "
Produtividade P(𝑣𝑖)=1−e^{−α𝑣𝑖},Construir medidor,"Changes in both productivity and the value to the individual will help us to assess the framework. Therefore, we have the following mathematical expressions to analyse these variations: 𝑃(𝑣𝑖)=1−𝑒^{−𝛼𝑣𝑖}  "
